When,Approach,signal,SNR,nRMSE,$v$
ICASSP2018,$GCC-PHAT$,wn+n,0,0.89,TDOA
ICASSP2018,$GCC-PHAT$,wn+n,10,0.69,TDOA
ICASSP2018,$GCC-PHAT$,wn+n,20,0.326,TDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,0,0.68,TDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,10,0.568,TDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,20,0.312,TDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,0,0.69,iTDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,10,0.34,iTDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,20,0.28,iTDOA
ICASSP2018,$MLP_\mathcal{V}$,wn+n,0,0.89,TDOE$_1$
ICASSP2018,$MLP_\mathcal{V}$,wn+n,10,0.53,TDOE$_1$
ICASSP2018,$MLP_\mathcal{V}$,wn+n,20,0.31,TDOE$_1$
Current,$CNN_\mathcal{V}$,wn+n,0,0.145,iTDOA
Current,$CNN_\mathcal{V}$,wn+n,10,0.196,iTDOA
Current,$CNN_\mathcal{V}$,wn+n,20,0.151,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,0,0.111,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,10,0.11,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,20,0.108,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,0,0.107,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,10,0.111,iTDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,20,0.113,iTDOA
Current,$CNN_\mathcal{V}$,wn+n,0,0.192,TDOA
Current,$CNN_\mathcal{V}$,wn+n,10,0.148,TDOA
Current,$CNN_\mathcal{V}$,wn+n,20,0.137,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,0,0.137,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,10,0.103,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,20,0.102,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,0,0.106,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,10,0.11,TDOA
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,20,0.099,TDOA
Current,$CNN_\mathcal{V}$,wn+n,0,0.284,TDOE$_1$
Current,$CNN_\mathcal{V}$,wn+n,10,0.21,TDOE$_1$
Current,$CNN_\mathcal{V}$,wn+n,20,0.222,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,0,0.28,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,10,0.248,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{N}}$,wn+n,20,0.222,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,0,0.294,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,10,0.237,TDOE$_1$
Current,$CNN_{\mathcal{V}_\mathcal{T}}$,wn+n,20,0.215,TDOE$_1$